"num_latitude","num_longitude"
51.27022,0.48928
51.023223,-0.348411000000001
51.322186,-0.253765
50.825029,-0.313961
51.401971,-0.110821
51.33026,-0.282475
51.320038,-0.127889
51.339812,-0.092077
50.881996,0.565631
50.77266,0.107696
51.047685,0.505791999999999
51.366912,1.169861
50.999723,-0.101062
51.3285,-0.105468
51.331414,0.447443
51.390617,0.470684000000001
51.126867,-0.205092
51.244091,0.556576
51.485718,0.292928999999999
51.376171,0.504444
50.77989,0.29979
51.378921,1.332455
51.092491,-0.202368
51.600047,0.531969000000001
51.111972,1.163159
51.488667,0.307626000000001
51.463487,0.146001
51.061185,0.163278
51.12849,-0.0223099999999999
51.333506,-0.263643
51.31365,0.0314919999999999
51.35247,-0.497012
51.556772,0.237035
50.766104,0.27905
51.10837,1.15551
50.850172,-0.5639
50.812183,0.242754
51.537061,0.772124
51.228984,-0.336043
51.127776,1.307189
50.76796,0.271310000000001
50.947229,0.730038
51.458523,0.224769999999999
51.13628,1.29662
51.267,0.391705999999999
50.848528,0.447679
51.020517,0.09208
50.776249,0.298603000000001
51.113098,-0.216966
50.78284,0.29346
51.29175,0.569264
50.943859,-0.175851
51.463614,0.368846
51.359909,0.507866
51.598952,0.654876
51.308417,0.0220779999999999
51.567554,0.434031
51.465624,0.376149000000001
51.372541,0.577659
51.308065,0.87295
51.415578,-0.155697
51.43595,0.249330000000001
51.598243,0.700092
51.3667,0.310645
50.882699,0.618649
50.859074,0.584630000000001
50.890104,-0.334213
51.446465,0.124519
51.383681,0.560326000000001
51.469178,0.364958999999999
50.955882,0.961675
51.41455,0.84264
50.852765,-0.570241000000001
51.004873,0.969928
51.26773,0.52614
51.422436,0.395030999999999
51.30218,0.44718
51.350903,0.575639
51.385043,0.0731690000000002
51.516664,0.439934
51.07586,0.357139999999999
51.01291,0.0666499999999996
51.610857,0.661349
51.490652,0.307294
51.217708,0.958405000000001
51.38745,0.305289
50.809937,-0.408886999999999
51.518993,0.292596
50.77253,0.29339
51.316128,0.885804
51.342511,-0.271478
51.557908,0.48067
51.221783,1.385547
50.863715,0.547189999999999
51.46452,0.372924
51.477276,0.183038
51.079227,1.182884
51.366352,0.542700000000001
51.090778,1.181685
50.839775,-0.413063000000001
51.602164,0.651059
51.43054,0.085759
51.389393,0.199509
51.360331,-0.28992
51.61844,0.746769
51.021747,-0.45693
50.854092,-0.555368
51.358795,0.734964
51.353523,0.56823
50.880493,-0.00851299999999994
50.812599,-0.394321
51.015232,-0.461322
50.96156,-0.157211
51.471495,0.16259
51.558025,0.179562
51.59903,0.65488
50.86262,0.562930000000001
51.50362,0.279835
50.8561,-0.642539999999999
51.210176,0.246949
50.99749,0.385515000000001
51.140121,0.269041
51.566221,0.447077
51.542865,0.773919
51.244232,0.492991
51.606173,0.510723
51.43552,0.115956
51.406754,0.0912619999999996
51.301693,0.449448
51.380184,1.351233
51.547316,0.817321
51.47905,0.131898000000001
51.373207,1.31192000000001
51.393168,0.474616
51.566234,0.567531
51.50642,0.251283000000001
